FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Aichi,Japan,2021-01-02 05:22:33,35.035551,137.211621,16767,216,13596,2955,"Aichi, Japan",222.01363065972885,1.288244766505636
,,Akita,Japan,2021-01-02 05:22:33,39.748679,140.408228,143,1,100,42,"Akita, Japan",14.795807509648315,0.6993006993006993
,,Aomori,Japan,2021-01-02 05:22:33,40.781541,140.828896,492,8,385,99,"Aomori, Japan",39.47460266646127,1.6260162601626016
,,Chiba,Japan,2021-01-02 05:22:33,35.510141,140.198917,11208,121,8660,2427,"Chiba, Japan",179.0592106377275,1.0795860099928622
,,Ehime,Japan,2021-01-02 05:22:33,33.624835,132.856842,471,13,365,93,"Ehime, Japan",35.16985696844793,2.760084925690021
,,Fukui,Japan,2021-01-02 05:22:33,35.846614,136.22465400000002,355,12,325,18,"Fukui, Japan",46.22775045348772,3.380281690140845
,,Fukuoka,Japan,2021-01-02 05:22:33,33.526032,130.666949,9121,119,7272,1730,"Fukuoka, Japan",178.71421772411628,1.3046815042210285
,,Fukushima,Japan,2021-01-02 05:22:33,37.378867,140.223295,956,21,673,262,"Fukushima, Japan",51.80114645256971,2.196652719665272
,,Gifu,Japan,2021-01-02 05:22:33,35.778671,137.055925,2348,35,1706,607,"Gifu, Japan",118.1926590680398,1.4906303236797274
,,Gunma,Japan,2021-01-02 05:22:33,36.504479,138.985605,2339,45,1935,359,"Gunma, Japan",120.41456794902948,1.923899102180419
,,Hiroshima,Japan,2021-01-02 05:22:33,34.605309000000005,132.788719,3392,36,1778,1578,"Hiroshima, Japan",120.96240715190233,1.0613207547169812
,,Hokkaido,Japan,2021-01-02 05:22:33,43.385711,142.552318,13536,456,11309,1771,"Hokkaido, Japan",257.82616505103096,3.368794326241135
,,Hyogo,Japan,2021-01-02 05:22:33,35.039913,134.828057,10128,220,8404,1504,"Hyogo, Japan",185.28444858301668,2.1721958925750395
,,Ibaraki,Japan,2021-01-02 05:22:33,36.303588,140.319591,2488,38,2123,327,"Ibaraki, Japan",86.98366993473078,1.527331189710611
,,Ishikawa,Japan,2021-01-02 05:22:33,36.769464,136.771027,1084,51,915,118,"Ishikawa, Japan",95.28422211068616,4.704797047970479
,,Iwate,Japan,2021-01-02 05:22:33,39.593287,141.361777,389,24,297,68,"Iwate, Japan",31.708096405654963,6.169665809768637
,,Kagawa,Japan,2021-01-02 05:22:33,34.217292,133.969047,306,3,206,97,"Kagawa, Japan",31.996754316163486,0.9803921568627451
,,Kagoshima,Japan,2021-01-02 05:22:33,31.009484000000004,130.430665,1031,14,875,142,"Kagoshima, Japan",64.34608833825446,1.3579049466537343
,,Kanagawa,Japan,2021-01-02 05:22:33,35.415312,139.338983,21730,280,17855,3595,"Kanagawa, Japan",236.24012694563802,1.2885411872986654
,,Kochi,Japan,2021-01-02 05:22:33,33.422519,133.367307,669,8,540,121,"Kochi, Japan",95.84129026157939,1.195814648729447
,,Kumamoto,Japan,2021-01-02 05:22:33,32.608154,130.74523100000002,1905,18,1466,421,"Kumamoto, Japan",109.00869609004977,0.9448818897637795
,,Kyoto,Japan,2021-01-02 05:22:33,35.253815,135.443341,4906,53,3431,1422,"Kyoto, Japan",189.93734700190518,1.0803098247044436
,,Mie,Japan,2021-01-02 05:22:33,34.508018,136.376013,1297,18,1108,171,"Mie, Japan",72.82908132037946,1.3878180416345411
,,Miyagi,Japan,2021-01-02 05:22:33,38.446859,140.927086,2221,16,1694,511,"Miyagi, Japan",96.29872114778017,0.720396217919856
,,Miyazaki,Japan,2021-01-02 05:22:33,32.193203999999994,131.299374,783,9,668,106,"Miyazaki, Japan",72.9525081966755,1.1494252873563218
,,Nagano,Japan,2021-01-02 05:22:33,36.132134,138.045528,1206,15,1029,162,"Nagano, Japan",58.864012417085206,1.243781094527363
,,Nagasaki,Japan,2021-01-02 05:22:33,33.235712,129.608033,675,4,311,360,"Nagasaki, Japan",50.88486902611638,0.5925925925925926
,,Nara,Japan,2021-01-02 05:22:33,34.317451,135.871644,2000,24,1620,356,"Nara, Japan",150.3620341878157,1.2
,,Niigata,Japan,2021-01-02 05:22:33,37.521819,138.918647,545,3,436,106,"Niigata, Japan",24.51525028496167,0.5504587155963303
,,Oita,Japan,2021-01-02 05:22:33,33.200697,131.43323999999998,700,6,561,133,"Oita, Japan",61.650434987854865,0.8571428571428571
,,Okayama,Japan,2021-01-02 05:22:33,34.89246,133.826252,1390,15,762,613,"Okayama, Japan",73.56108692591923,1.079136690647482
,,Okinawa,Japan,2021-01-02 05:22:33,25.768923,126.668016,5411,81,4902,428,"Okinawa, Japan",372.3588738535393,1.4969506560709664
,,Osaka,Japan,2021-01-02 05:22:33,34.620965000000005,135.507481,30297,588,25866,3843,"Osaka, Japan",343.9181697927535,1.940786216457075
,,Port Quarantine,Japan,2021-01-02 05:22:33,,,1900,1,1750,149,"Port Quarantine, Japan",,0.05263157894736842
,,Saga,Japan,2021-01-02 05:22:33,33.286977,130.115738,469,3,409,57,"Saga, Japan",57.566425395017376,0.6396588486140725
,,Saitama,Japan,2021-01-02 05:22:33,35.997101,139.347635,14511,211,11017,3283,"Saitama, Japan",197.43681810927342,1.4540693267176625
,,Shiga,Japan,2021-01-02 05:22:33,35.21582700000001,136.138064,1199,12,937,250,"Shiga, Japan",84.79832638232234,1.0008340283569641
,,Shimane,Japan,2021-01-02 05:22:33,35.07076,132.55406399999998,209,0,178,31,"Shimane, Japan",30.992991728281922,0.0
,,Shizuoka,Japan,2021-01-02 05:22:33,34.916975,138.40778400000002,2717,41,2177,499,"Shizuoka, Japan",74.57058104123256,1.5090172984909827
,,Tochigi,Japan,2021-01-02 05:22:33,36.689912,139.819213,1534,6,1006,522,"Tochigi, Japan",79.31788685567143,0.39113428943937417
,,Tokushima,Japan,2021-01-02 05:22:33,33.919178,134.242091,199,9,183,7,"Tokushima, Japan",27.336028473427046,4.522613065326633
,,Tokyo,Japan,2021-01-02 05:22:33,35.711343,139.446921,61105,631,50365,10109,"Tokyo, Japan",438.95179417819395,1.0326487194173963
,,Tottori,Japan,2021-01-02 05:22:33,35.359069,133.863619,119,0,66,53,"Tottori, Japan",21.41990575241469,0.0
,,Toyama,Japan,2021-01-02 05:22:33,36.637464,137.26934599999998,562,26,478,58,"Toyama, Japan",53.85710808412442,4.6263345195729535
,,Wakayama,Japan,2021-01-02 05:22:33,33.911879,135.505446,629,7,565,57,"Wakayama, Japan",68.00492576219034,1.1128775834658187
,,Yamagata,Japan,2021-01-02 05:22:33,38.448396,140.102154,390,9,304,77,"Yamagata, Japan",36.18932025321389,2.3076923076923075
